Datefirstseen,Event,XEvent,Proto,SrcIPAddr:Port,DstIPAddr:Port,X-SrcIPAddr:Port,X-DstIPAddr:Port,InByte,OutByte
2020-02-25 11:21:06.190,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:3682,0.0.0.0:0,0.0.0.0:0,572,0
2020-02-25 11:28:30.860,INVALID,Ignore,TCP,192.168.250.50:61137,40.114.211.99:443,0.0.0.0:0,0.0.0.0:0,2241,0
2020-02-25 11:29:30.210,INVALID,Ignore,TCP,192.168.250.3:80,23.226.231.226:28857,0.0.0.0:0,0.0.0.0:0,308,0
2020-02-25 11:30:01.860,INVALID,Ignore,UDP,192.168.250.62:58474,192.168.250.1:123,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:01.860,INVALID,Ignore,UDP,192.168.250.1:123,192.168.250.62:58474,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:02.530,INVALID,Ignore,UDP,192.168.250.50:62595,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,132,0
2020-02-25 11:30:02.540,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:62595,0.0.0.0:0,0.0.0.0:0,450,0
2020-02-25 11:30:02.540,INVALID,Ignore,UDP,192.168.250.50:62596,173.194.73.95:443,0.0.0.0:0,0.0.0.0:0,5023,0
2020-02-25 11:30:02.550,INVALID,Ignore,UDP,173.194.73.95:443,217.15.20.194:62596,0.0.0.0:0,0.0.0.0:0,6248,0
2020-02-25 11:30:02.700,INVALID,Ignore,UDP,192.168.250.50:60512,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,126,0
2020-02-25 11:30:02.700,INVALID,Ignore,UDP,192.168.250.50:56363,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,112,0
2020-02-25 11:30:02.700,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:56363,0.0.0.0:0,0.0.0.0:0,616,0
2020-02-25 11:30:02.700,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.50:60512,0.0.0.0:0,0.0.0.0:0,502,0
2020-02-25 11:30:02.710,INVALID,Ignore,UDP,192.168.250.50:56364,108.177.14.94:443,0.0.0.0:0,0.0.0.0:0,4313,0
2020-02-25 11:30:02.730,INVALID,Ignore,UDP,108.177.14.94:443,217.15.20.194:56364,0.0.0.0:0,0.0.0.0:0,4185,0
2020-02-25 11:30:03.680,INVALID,Ignore,UDP,192.168.250.27:61617,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:30:03.680,INVALID,Ignore,UDP,192.168.250.27:61618,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:30:03.680,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61617,0.0.0.0:0,0.0.0.0:0,508,0
2020-02-25 11:30:03.680,INVALID,Ignore,UDP,192.168.250.27:61619,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,158,0
2020-02-25 11:30:03.680,INVALID,Ignore,UDP,192.168.250.27:61620,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,158,0
2020-02-25 11:30:03.680,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61618,0.0.0.0:0,0.0.0.0:0,700,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.27:61621,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.27:61622,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61620,0.0.0.0:0,0.0.0.0:0,768,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.27:61623,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,176,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.27:61624,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,176,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61619,0.0.0.0:0,0.0.0.0:0,768,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.27:61625,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:30:03.690,INVALID,Ignore,UDP,192.168.250.27:61626,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61622,0.0.0.0:0,0.0.0.0:0,764,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.27:61627,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.27:61628,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,154,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61621,0.0.0.0:0,0.0.0.0:0,764,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61624,0.0.0.0:0,0.0.0.0:0,676,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.27:61629,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.27:61630,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:03.700,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61623,0.0.0.0:0,0.0.0.0:0,676,0
2020-02-25 11:30:03.710,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61626,0.0.0.0:0,0.0.0.0:0,888,0
2020-02-25 11:30:03.710,INVALID,Ignore,UDP,192.168.250.27:61631,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:30:03.710,INVALID,Ignore,UDP,192.168.250.27:61632,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,156,0
2020-02-25 11:30:03.710,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61625,0.0.0.0:0,0.0.0.0:0,888,0
2020-02-25 11:30:03.710,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61628,0.0.0.0:0,0.0.0.0:0,760,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.27:61633,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.27:61634,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,152,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61627,0.0.0.0:0,0.0.0.0:0,760,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61630,0.0.0.0:0,0.0.0.0:0,596,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.27:61635,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,160,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.27:61636,192.168.250.1:53,0.0.0.0:0,0.0.0.0:0,160,0
2020-02-25 11:30:03.720,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61629,0.0.0.0:0,0.0.0.0:0,596,0
2020-02-25 11:30:03.730,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61632,0.0.0.0:0,0.0.0.0:0,700,0
2020-02-25 11:30:03.730,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61631,0.0.0.0:0,0.0.0.0:0,700,0
2020-02-25 11:30:03.730,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61634,0.0.0.0:0,0.0.0.0:0,884,0
2020-02-25 11:30:03.730,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61633,0.0.0.0:0,0.0.0.0:0,884,0
2020-02-25 11:30:03.740,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61636,0.0.0.0:0,0.0.0.0:0,772,0
2020-02-25 11:30:03.740,INVALID,Ignore,UDP,192.168.250.1:53,192.168.250.27:61635,0.0.0.0:0,0.0.0.0:0,772,0
